Numer_char,Komentarz,Grupa,Dzial,Osoba,sciezka_char
000339,Komentarz323,Grupa 0,Dzial 1,Frederick Mclaughlin,000004/000031/000274/000339
000340,Komentarz547,Grupa 2,Dzial 1,Ramiro Thompson,000020/000063/000160/000340
000341,Komentarz882,Grupa 1,Dzial 2,Tanya Bridges ,000009/000047/000165/000341
000342,Komentarz162,Grupa 2,Dzial 2,Christina Nguyen,000009/000085/000103/000342
000343,Komentarz871,Grupa 1,Dzial 0,Alison Lyons,000006/000026/000138/000343
000344,Komentarz975,Grupa 0,Dzial 3,Jose Gilbert ,000011/000077/000243/000344
000345,Komentarz283,Grupa 2,Dzial 2,Alberto Allison ,000019/000083/000245/000345
000346,Komentarz622,Grupa 2,Dzial 1,Roy Weaver ,000010/000034/000233/000346
000347,Komentarz995,Grupa 1,Dzial 2,Tanya Bridges ,000014/000060/000133/000347
000348,Komentarz284,Grupa 2,Dzial 1,Marta Clarke,000014/000073/000279/000348
000349,Komentarz232,Grupa 1,Dzial 1,Luther Ramsey ,000021/000052/000264/000349
000350,Komentarz596,Grupa 2,Dzial 1,Roy Weaver ,000019/000076/000135/000350
000351,Komentarz141,Grupa 2,Dzial 1,Marta Clarke,000009/000032/000293/000351
000352,Komentarz109,Grupa 1,Dzial 2,Tanya Bridges ,000010/000041/000214/000352
000353,Komentarz845,Grupa 2,Dzial 1,Diana Pierce ,000011/000077/000247/000353
000354,Komentarz458,Grupa 1,Dzial 3,Rex Casey ,000005/000038/000272/000354
000355,Komentarz187,Grupa 1,Dzial 1,Elizabeth Conner,000012/000046/000210/000355
000356,Komentarz177,Grupa 0,Dzial 2,Irene Sandoval,851968/000016/000100/000356
000357,Komentarz528,Grupa 0,Dzial 3,Salvador Reese ,000018/000097/000205/000357
000358,Komentarz61,Grupa 2,Dzial 1,Alan Underwood ,000013/000066/000157/000358
000359,Komentarz992,Grupa 1,Dzial 0,Elsie Alvarez,000009/000047/000165/000359
000360,Komentarz476,Grupa 1,Dzial 3,Izydor Patryk,000011/000077/000291/000360
000361,Komentarz989,Grupa 1,Dzial 0,Alison Lyons,000018/000097/000205/000361
000362,Komentarz145,Grupa 0,Dzial 3,Dennis Kelley ,000010/000075/000117/000362
000363,Komentarz810,Grupa 0,Dzial 2,Nora Roberts,000012/000070/000250/000363
000364,Komentarz347,Grupa 0,Dzial 1,Frederick Mclaughlin,000010/000037/000302/000364
000365,Komentarz953,Grupa 0,Dzial 2,Allen Thompson,000019/000082/000275/000365
000366,Komentarz124,Grupa 1,Dzial 1,Elizabeth Conner,000015/000088/000235/000366
000367,Komentarz302,Grupa 0,Dzial 2,Bernard Ellis ,000001/000033/000111/000367
000368,Komentarz51,Grupa 0,Dzial 2,Allen Thompson,000021/000052/000264/000368
000369,Komentarz410,Grupa 0,Dzial 2,Irene Sandoval,000004/000053/000140/000369
000370,Komentarz491,Grupa 2,Dzial 1,Alan Underwood ,000010/000041/000130/000370
000371,Komentarz409,Grupa 0,Dzial 2,Jenna Dean,000016/000099/000299/000371
000372,Komentarz858,Grupa 0,Dzial 3,Salvador Reese ,000009/000068/000234/000372
000373,Komentarz484,Grupa 0,Dzial 3,Jose Gilbert ,000019/000065/000251/000373
000374,Komentarz66,Grupa 0,Dzial 1,Frederick Mclaughlin,000002/000061/000248/000374
000375,Komentarz439,Grupa 0,Dzial 3,Paulette Mcdaniel ,000002/000061/000174/000375
000376,Komentarz683,Grupa 0,Dzial 2,Irene Sandoval,000009/000068/000244/000376
000377,Komentarz60,Grupa 0,Dzial 3,Salvador Reese ,000005/000030/000173/000377
000378,Komentarz175,Grupa 1,Dzial 3,Izydor Patryk,000012/000058/000237/000378
000379,Komentarz711,Grupa 1,Dzial 0,Alison Lyons,000013/000098/000176/000379
000380,Komentarz645,Grupa 2,Dzial 1,Alan Underwood ,000019/000035/000118/000380
000381,Komentarz352,Grupa 2,Dzial 1,Marta Clarke,000025/000040/000292/000381
000382,Komentarz735,Grupa 1,Dzial 0,Elsie Alvarez,000019/000065/000192/000382
000383,Komentarz797,Grupa 1,Dzial 1,Elizabeth Conner,000006/000039/000112/000383
000384,Komentarz163,Grupa 2,Dzial 2,Guy Moran ,000019/000065/000258/000384
000385,Komentarz453,Grupa 1,Dzial 0,Elsie Alvarez,000010/000041/000197/000385
000386,Komentarz54,Grupa 0,Dzial 2,Nora Roberts,000014/000027/000116/000386
000387,Komentarz5,Grupa 2,Dzial 3,Shawn Santos ,000011/000077/000247/000387
000388,Komentarz52,Grupa 1,Dzial 1,Angelica Hale,000014/000060/000133/000388
000389,Komentarz46,Grupa 1,Dzial 1,Angelica Hale,000011/000077/000247/000389
000390,Komentarz690,Grupa 1,Dzial 1,Ernestine Mathis ,000021/000079/000184/000390
000391,Komentarz557,Grupa 2,Dzial 1,Roy Weaver ,000021/000079/000184/000391
000392,Komentarz156,Grupa 0,Dzial 3,Salvador Reese ,000017/000093/000125/000392
000393,Komentarz122,Grupa 0,Dzial 3,Jose Gilbert ,000009/000032/000181/000393
000394,Komentarz87,Grupa 1,Dzial 3,Izydor Patryk,000011/000096/000321/000394
000395,Komentarz602,Grupa 2,Dzial 2,Alberto Allison ,000009/000085/000322/000395
000396,Komentarz833,Grupa 0,Dzial 2,Noah Barnes ,000019/000082/000289/000396
000397,Komentarz382,Grupa 1,Dzial 0,Rogelio Tucker,000004/000031/000208/000397
000398,Komentarz595,Grupa 0,Dzial 2,Cora Moody ,000016/000055/000211/000398
000399,Komentarz393,Grupa 0,Dzial 2,Allen Thompson,000016/000100/000242/000399
000400,Komentarz966,Grupa 0,Dzial 2,Nora Roberts,000019/000065/000252/000400
000401,Komentarz94,Grupa 1,Dzial 1,Brett Swanson ,000025/000059/000317/000401
000402,Komentarz179,Grupa 1,Dzial 3,Izydor Patryk,000004/000031/000155/000402
000403,Komentarz839,Grupa 0,Dzial 3,Paulette Mcdaniel ,000022/000081/000249/000403
000404,Komentarz377,Grupa 2,Dzial 1,Ramiro Thompson,000019/000083/000245/000404
000405,Komentarz663,Grupa 0,Dzial 3,Lorraine Cortez ,000009/000085/000322/000405
000406,Komentarz827,Grupa 2,Dzial 3,Shawn Santos ,000008/000029/000179/000406
000407,Komentarz305,Grupa 1,Dzial 1,Orlando Delgado,000006/000026/000253/000407
000408,Komentarz304,Grupa 1,Dzial 3,Rex Casey ,000013/000066/000163/000408
000409,Komentarz183,Grupa 2,Dzial 2,Guy Moran ,000014/000073/000279/000409
000410,Komentarz337,Grupa 2,Dzial 3,Corey Mccormick ,000013/000066/000163/000410
000411,Komentarz308,Grupa 0,Dzial 2,Cora Moody ,000010/000037/000302/000411
000412,Komentarz951,Grupa 0,Dzial 3,Dennis Kelley ,000013/000072/000229/000412
000413,Komentarz682,Grupa 1,Dzial 1,Angelica Hale,000004/000053/000304/000413
000414,Komentarz562,Grupa 2,Dzial 0,Cecelia Joseph,000005/000030/000315/000414
000415,Komentarz781,Grupa 2,Dzial 1,Roy Weaver ,000006/000026/000202/000415
000416,Komentarz59,Grupa 2,Dzial 0,Cecelia Joseph,000004/000053/000198/000416
000417,Komentarz765,Grupa 1,Dzial 0,Rogelio Tucker,000005/000030/000191/000417
000418,Komentarz282,Grupa 2,Dzial 1,Ramiro Thompson,000001/000033/000111/000418
000419,Komentarz160,Grupa 0,Dzial 1,Frederick Mclaughlin,000018/000071/000238/000419
000420,Komentarz761,Grupa 2,Dzial 1,Diana Pierce ,000019/000083/000221/000420
000421,Komentarz94,Grupa 2,Dzial 1,Roy Weaver ,000023/000078/000255/000421
000422,Komentarz223,Grupa 1,Dzial 1,Orlando Delgado,000009/000047/000288/000422
000423,Komentarz564,Grupa 2,Dzial 1,Marta Clarke,000015/000088/000235/000423
000424,Komentarz454,Grupa 0,Dzial 3,Paulette Mcdaniel ,000008/000029/000179/000424
000425,Komentarz169,Grupa 1,Dzial 0,Alison Lyons,000005/000030/000110/000425
000426,Komentarz302,Grupa 1,Dzial 1,Luther Ramsey ,000012/000070/000250/000426
000427,Komentarz36,Grupa 1,Dzial 1,Ernestine Mathis ,000019/000083/000282/000427
000428,Komentarz119,Grupa 1,Dzial 0,Elsie Alvarez,000017/000093/000297/000428
000429,Komentarz740,Grupa 0,Dzial 3,Jose Gilbert ,000022/000081/000249/000429
000430,Komentarz803,Grupa 2,Dzial 0,Phil Briggs,000013/000098/000176/000430
000431,Komentarz958,Grupa 0,Dzial 2,Bernard Ellis ,000014/000060/000185/000431
000432,Komentarz425,Grupa 1,Dzial 3,Izydor Patryk,000010/000037/000294/000432
000433,Komentarz283,Grupa 2,Dzial 1,Diana Pierce ,000022/000049/000169/000433
000434,Komentarz396,Grupa 0,Dzial 3,Jose Gilbert ,000017/000093/000194/000434
000435,Komentarz599,Grupa 0,Dzial 3,Dennis Kelley ,000025/000051/000267/000435
000436,Komentarz282,Grupa 0,Dzial 2,Allen Thompson,000010/000034/000204/000436
000437,Komentarz19,Grupa 0,Dzial 3,Dennis Kelley ,000025/000059/000317/000437
000438,Komentarz6,Grupa 0,Dzial 2,Al Welch ,000006/000039/000112/000438
000439,Komentarz524,Grupa 1,Dzial 3,Rex Casey ,000012/000058/000271/000439
000440,Komentarz782,Grupa 1,Dzial 0,Elsie Alvarez,000012/000058/000237/000440
000441,Komentarz554,Grupa 2,Dzial 1,Ramiro Thompson,000017/000093/000194/000441
000442,Komentarz669,Grupa 0,Dzial 3,Salvador Reese ,000004/000031/000208/000442
000443,Komentarz306,Grupa 0,Dzial 2,Noah Barnes ,000021/000079/000184/000443
000444,Komentarz146,Grupa 0,Dzial 3,Paulette Mcdaniel ,000006/000039/000112/000444
000445,Komentarz124,Grupa 2,Dzial 2,Guy Moran ,000018/000086/000180/000445
000446,Komentarz407,Grupa 0,Dzial 3,Lorraine Cortez ,000009/000085/000104/000446
000447,Komentarz78,Grupa 0,Dzial 3,Salvador Reese ,000014/000027/000116/000447
000448,Komentarz971,Grupa 0,Dzial 2,Noah Barnes ,000019/000083/000269/000448
000449,Komentarz383,Grupa 2,Dzial 3,Corey Mccormick ,000012/000070/000250/000449
000450,Komentarz936,Grupa 0,Dzial 3,Naomi Shelton,000009/000047/000288/000450
000451,Komentarz404,Grupa 0,Dzial 2,Irene Sandoval,000014/000060/000185/000451
000452,Komentarz942,Grupa 0,Dzial 3,Dennis Kelley ,000013/000098/000150/000452
000453,Komentarz503,Grupa 1,Dzial 0,Alison Lyons,000011/000096/000310/000453
000454,Komentarz454,Grupa 0,Dzial 3,Lorraine Cortez ,000012/000046/000216/000454
000455,Komentarz763,Grupa 1,Dzial 3,Izydor Patryk,000004/000031/000155/000455
000456,Komentarz80,Grupa 0,Dzial 3,Dennis Kelley ,000018/000097/000239/000456
000457,Komentarz497,Grupa 0,Dzial 2,Jenna Dean,000011/000057/000175/000457
000458,Komentarz582,Grupa 2,Dzial 1,Alan Underwood ,000009/000085/000322/000458
000459,Komentarz862,Grupa 0,Dzial 3,Janie Grant,000006/000039/000112/000459
000460,Komentarz383,Grupa 1,Dzial 3,Rex Casey ,000019/000035/000257/000460
000461,Komentarz859,Grupa 1,Dzial 1,Luther Ramsey ,000014/000060/000133/000461
000462,Komentarz540,Grupa 1,Dzial 0,Alison Lyons,000013/000072/000161/000462
000463,Komentarz212,Grupa 1,Dzial 3,Izydor Patryk,000020/000063/000166/000463
000464,Komentarz142,Grupa 2,Dzial 1,Alan Underwood ,000013/000098/000176/000464
000465,Komentarz113,Grupa 0,Dzial 3,Jose Gilbert ,000011/000096/000108/000465
000466,Komentarz934,Grupa 2,Dzial 1,Ramiro Thompson,000005/000030/000154/000466
000467,Komentarz440,Grupa 0,Dzial 3,Dennis Kelley ,000010/000092/000190/000467
000468,Komentarz52,Grupa 1,Dzial 2,Tanya Bridges ,000021/000052/000264/000468
000469,Komentarz457,Grupa 1,Dzial 1,Luther Ramsey ,000013/000098/000278/000469
000470,Komentarz929,Grupa 0,Dzial 2,Allen Thompson,000019/000083/000221/000470
000471,Komentarz544,Grupa 0,Dzial 2,Jenna Dean,000022/000049/000231/000471
000472,Komentarz293,Grupa 0,Dzial 2,Allen Thompson,000017/000093/000168/000472
000473,Komentarz7,Grupa 0,Dzial 2,Allen Thompson,000014/000060/000185/000473
000474,Komentarz729,Grupa 0,Dzial 3,Dennis Kelley ,000025/000040/000280/000474
000475,Komentarz225,Grupa 0,Dzial 3,Janie Grant,000010/000075/000273/000475
000476,Komentarz406,Grupa 1,Dzial 1,Elizabeth Conner,000020/000087/000207/000476
000477,Komentarz280,Grupa 0,Dzial 3,Lorraine Cortez ,000013/000072/000246/000477
000478,Komentarz292,Grupa 1,Dzial 1,Brett Swanson ,000018/000097/000205/000478
000479,Komentarz208,Grupa 1,Dzial 0,Alison Lyons,000014/000060/000201/000479
000480,Komentarz76,Grupa 2,Dzial 1,Alan Underwood ,000004/000053/000256/000480
000481,Komentarz442,Grupa 0,Dzial 3,Dennis Kelley ,000019/000065/000252/000481
000482,Komentarz575,Grupa 0,Dzial 2,Bernard Ellis ,000004/000053/000106/000482
000483,Komentarz490,Grupa 2,Dzial 1,Ramiro Thompson,000002/000084/000212/000483
000484,Komentarz308,Grupa 1,Dzial 0,Alison Lyons,000009/000032/000218/000484
000485,Komentarz409,Grupa 2,Dzial 0,Phil Briggs,000020/000063/000228/000485
000486,Komentarz710,Grupa 1,Dzial 1,Brett Swanson ,000011/000077/000243/000486
000487,Komentarz675,Grupa 0,Dzial 3,Janie Grant,000012/000074/000149/000487
000488,Komentarz443,Grupa 0,Dzial 2,Allen Thompson,000013/000066/000152/000488
000489,Komentarz474,Grupa 2,Dzial 2,Christina Nguyen,000010/000041/000316/000489
000490,Komentarz487,Grupa 1,Dzial 0,Alison Lyons,000014/000060/000201/000490
000491,Komentarz834,Grupa 0,Dzial 2,Noah Barnes ,000010/000075/000323/000491
000492,Komentarz567,Grupa 1,Dzial 1,Angelica Hale,000011/000096/000321/000492
000493,Komentarz643,Grupa 0,Dzial 3,Jose Gilbert ,000004/000053/000106/000493
000494,Komentarz366,Grupa 2,Dzial 0,Phil Briggs,000009/000032/000218/000494
000495,Komentarz138,Grupa 2,Dzial 1,Roy Weaver ,000020/000063/000166/000495
000496,Komentarz756,Grupa 0,Dzial 1,Frederick Mclaughlin,000012/000058/000195/000496
000497,Komentarz184,Grupa 1,Dzial 1,Orlando Delgado,000010/000075/000296/000497
000498,Komentarz890,Grupa 0,Dzial 3,Jose Gilbert ,000016/000055/000211/000498
000499,Komentarz882,Grupa 1,Dzial 3,Izydor Patryk,000019/000082/000305/000499
000500,Komentarz327,Grupa 1,Dzial 0,Rogelio Tucker,000004/000053/000213/000500
000501,Komentarz807,Grupa 0,Dzial 2,Noah Barnes ,000009/000047/000288/000501
000502,Komentarz157,Grupa 0,Dzial 2,Al Welch ,000005/000030/000191/000502
000503,Komentarz885,Grupa 2,Dzial 2,Christina Nguyen,000001/000033/000111/000503
000504,Komentarz13,Grupa 2,Dzial 0,Phil Briggs,000006/000039/000112/000504
000505,Komentarz676,Grupa 0,Dzial 3,Paulette Mcdaniel ,000002/000061/000109/000505
000506,Komentarz79,Grupa 0,Dzial 3,Salvador Reese ,000009/000085/000103/000506
000507,Komentarz513,Grupa 2,Dzial 1,Roy Weaver ,000002/000050/000324/000507
000508,Komentarz675,Grupa 1,Dzial 1,Ernestine Mathis ,000013/000066/000157/000508
000509,Komentarz284,Grupa 0,Dzial 2,Irene Sandoval,000014/000073/000300/000509
000510,Komentarz315,Grupa 0,Dzial 3,Salvador Reese ,000019/000083/000282/000510
000511,Komentarz155,Grupa 0,Dzial 3,Paulette Mcdaniel ,000010/000037/000294/000511
000512,Komentarz318,Grupa 2,Dzial 0,Phil Briggs,000005/000030/000315/000512
000513,Komentarz309,Grupa 2,Dzial 1,Roy Weaver ,000014/000073/000300/000513
000514,Komentarz527,Grupa 0,Dzial 3,Naomi Shelton,000012/000058/000271/000514
000515,Komentarz632,Grupa 0,Dzial 1,Frederick Mclaughlin,000005/000038/000318/000515
000516,Komentarz803,Grupa 2,Dzial 2,Christina Nguyen,000011/000077/000291/000516
000517,Komentarz947,Grupa 2,Dzial 2,Guy Moran ,000011/000057/000175/000517
000518,Komentarz783,Grupa 2,Dzial 2,Alberto Allison ,000021/000079/000177/000518
000519,Komentarz749,Grupa 2,Dzial 2,Christina Nguyen,000011/000077/000136/000519
000520,Komentarz256,Grupa 0,Dzial 1,Frederick Mclaughlin,000005/000030/000154/000520
000521,Komentarz236,Grupa 2,Dzial 0,Cecelia Joseph,000015/000088/000186/000521
000522,Komentarz345,Grupa 2,Dzial 1,Roy Weaver ,000013/000072/000246/000522
000523,Komentarz702,Grupa 2,Dzial 2,Guy Moran ,000002/000050/000301/000523
000524,Komentarz849,Grupa 0,Dzial 3,Paulette Mcdaniel ,000009/000068/000277/000524
000525,Komentarz460,Grupa 1,Dzial 0,Rogelio Tucker,000005/000080/000189/000525
000526,Komentarz841,Grupa 0,Dzial 3,Janie Grant,000022/000094/000153/000526
000527,Komentarz26,Grupa 0,Dzial 1,Frederick Mclaughlin,000019/000083/000245/000527
000528,Komentarz746,Grupa 2,Dzial 1,Alan Underwood ,000006/000026/000138/000528
000529,Komentarz632,Grupa 2,Dzial 3,Shawn Santos ,000013/000066/000163/000529
000530,Komentarz286,Grupa 0,Dzial 3,Dennis Kelley ,000005/000038/000272/000530
000531,Komentarz140,Grupa 0,Dzial 3,Paulette Mcdaniel ,000020/000087/000224/000531
000532,Komentarz818,Grupa 1,Dzial 1,Orlando Delgado,000010/000034/000204/000532
000533,Komentarz742,Grupa 2,Dzial 1,Diana Pierce ,000019/000082/000305/000533
000534,Komentarz483,Grupa 2,Dzial 3,Shawn Santos ,000014/000060/000133/000534
000535,Komentarz531,Grupa 1,Dzial 0,Alison Lyons,000008/000062/000200/000535
000536,Komentarz117,Grupa 2,Dzial 0,Phil Briggs,000022/000081/000139/000536
000537,Komentarz930,Grupa 2,Dzial 1,Ramiro Thompson,000012/000070/000232/000537
000538,Komentarz509,Grupa 1,Dzial 1,Luther Ramsey ,000014/000073/000260/000538
000539,Komentarz690,Grupa 2,Dzial 2,Alberto Allison ,000002/000061/000174/000539
000540,Komentarz129,Grupa 0,Dzial 3,Lorraine Cortez ,000021/000079/000177/000540
000541,Komentarz506,Grupa 1,Dzial 1,Ernestine Mathis ,000011/000077/000136/000541
000542,Komentarz266,Grupa 1,Dzial 1,Luther Ramsey ,000009/000047/000303/000542
000543,Komentarz903,Grupa 2,Dzial 3,Corey Mccormick ,000021/000052/000170/000543
000544,Komentarz641,Grupa 0,Dzial 2,Allen Thompson,000012/000074/000149/000544
000545,Komentarz354,Grupa 0,Dzial 2,Noah Barnes ,000011/000096/000108/000545
000546,Komentarz583,Grupa 2,Dzial 1,Alan Underwood ,000020/000063/000160/000546
000547,Komentarz119,Grupa 1,Dzial 2,Tanya Bridges ,000021/000079/000177/000547
000548,Komentarz836,Grupa 0,Dzial 2,Bernard Ellis ,000019/000076/000135/000548
000549,Komentarz719,Grupa 1,Dzial 1,Luther Ramsey ,000006/000026/000253/000549
000550,Komentarz233,Grupa 0,Dzial 3,Janie Grant,000011/000054/000151/000550
000551,Komentarz271,Grupa 1,Dzial 3,Rex Casey ,000013/000048/000178/000551
000552,Komentarz925,Grupa 2,Dzial 1,Roy Weaver ,000004/000053/000256/000552
000553,Komentarz151,Grupa 2,Dzial 1,Diana Pierce ,000025/000051/000114/000553
000554,Komentarz948,Grupa 2,Dzial 1,Diana Pierce ,000024/000042/000263/000554
000555,Komentarz452,Grupa 0,Dzial 3,Janie Grant,000005/000030/000110/000555
000556,Komentarz403,Grupa 0,Dzial 1,Frederick Mclaughlin,000009/000068/000277/000556
000557,Komentarz910,Grupa 0,Dzial 1,Frederick Mclaughlin,000013/000048/000178/000557
000558,Komentarz294,Grupa 1,Dzial 2,Tanya Bridges ,000002/000050/000324/000558
000559,Komentarz322,Grupa 2,Dzial 1,Marta Clarke,000010/000075/000323/000559
000560,Komentarz754,Grupa 0,Dzial 3,Dennis Kelley ,000018/000097/000239/000560
000561,Komentarz58,Grupa 2,Dzial 3,Corey Mccormick ,000014/000073/000260/000561
000562,Komentarz451,Grupa 2,Dzial 1,Alan Underwood ,000011/000096/000227/000562
000563,Komentarz968,Grupa 0,Dzial 2,Cora Moody ,000009/000068/000234/000563
000564,Komentarz935,Grupa 2,Dzial 0,Phil Briggs,000004/000036/000309/000564
000565,Komentarz94,Grupa 0,Dzial 2,Bernard Ellis ,000004/000031/000208/000565
000566,Komentarz465,Grupa 2,Dzial 0,Phil Briggs,000013/000072/000161/000566
000567,Komentarz233,Grupa 1,Dzial 1,Ernestine Mathis ,000010/000092/000190/000567
000568,Komentarz319,Grupa 0,Dzial 3,Naomi Shelton,000008/000062/000200/000568
000569,Komentarz138,Grupa 1,Dzial 1,Luther Ramsey ,000010/000037/000270/000569
000570,Komentarz117,Grupa 0,Dzial 3,Naomi Shelton,000002/000061/000109/000570
000571,Komentarz508,Grupa 1,Dzial 0,Rogelio Tucker,000001/000033/000111/000571
000572,Komentarz944,Grupa 2,Dzial 0,Cecelia Joseph,000019/000076/000135/000572
000573,Komentarz544,Grupa 0,Dzial 2,Al Welch ,000011/000028/000308/000573
000574,Komentarz707,Grupa 1,Dzial 2,Tanya Bridges ,000013/000066/000157/000574
000575,Komentarz204,Grupa 1,Dzial 1,Luther Ramsey ,000008/000029/000179/000575
000576,Komentarz453,Grupa 1,Dzial 3,Izydor Patryk,000011/000077/000136/000576
000577,Komentarz711,Grupa 1,Dzial 0,Elsie Alvarez,000010/000075/000311/000577
000578,Komentarz305,Grupa 2,Dzial 2,Alberto Allison ,000001/000033/000111/000578
000579,Komentarz167,Grupa 0,Dzial 3,Salvador Reese ,000020/000044/000159/000579
000580,Komentarz349,Grupa 2,Dzial 3,Corey Mccormick ,000011/000054/000151/000580
000581,Komentarz860,Grupa 1,Dzial 2,Tanya Bridges ,000019/000035/000257/000581
000582,Komentarz387,Grupa 0,Dzial 2,Al Welch ,000008/000029/000113/000582
000583,Komentarz226,Grupa 0,Dzial 2,Noah Barnes ,000023/000078/000255/000583
000584,Komentarz396,Grupa 2,Dzial 0,Cecelia Joseph,000004/000053/000304/000584
000585,Komentarz819,Grupa 0,Dzial 3,Janie Grant,000010/000034/000119/000585
000586,Komentarz856,Grupa 2,Dzial 2,Guy Moran ,000014/000073/000223/000586
000587,Komentarz834,Grupa 1,Dzial 3,Rex Casey ,000010/000075/000117/000587
000588,Komentarz175,Grupa 1,Dzial 1,Angelica Hale,000019/000065/000252/000588
000589,Komentarz897,Grupa 2,Dzial 3,Corey Mccormick ,000019/000065/000258/000589
000590,Komentarz747,Grupa 1,Dzial 1,Orlando Delgado,000011/000054/000314/000590
000591,Komentarz316,Grupa 2,Dzial 3,Shawn Santos ,000004/000031/000155/000591
000592,Komentarz491,Grupa 1,Dzial 2,Tanya Bridges ,000010/000041/000121/000592
000593,Komentarz364,Grupa 0,Dzial 2,Bernard Ellis ,000020/000063/000160/000593
000594,Komentarz945,Grupa 2,Dzial 1,Diana Pierce ,000014/000095/000187/000594
000595,Komentarz117,Grupa 1,Dzial 0,Elsie Alvarez,000011/000054/000314/000595
000596,Komentarz389,Grupa 2,Dzial 2,Guy Moran ,000011/000090/000171/000596
000597,Komentarz232,Grupa 0,Dzial 2,Nora Roberts,000004/000053/000304/000597
000598,Komentarz664,Grupa 0,Dzial 1,Frederick Mclaughlin,000019/000083/000245/000598
000599,Komentarz745,Grupa 1,Dzial 0,Rogelio Tucker,000009/000047/000288/000599
000600,Komentarz794,Grupa 1,Dzial 3,Rex Casey ,000018/000071/000286/000600
000601,Komentarz202,Grupa 0,Dzial 3,Naomi Shelton,000011/000077/000243/000601
000602,Komentarz157,Grupa 1,Dzial 0,Elsie Alvarez,000010/000034/000233/000602
000603,Komentarz719,Grupa 0,Dzial 3,Salvador Reese ,000012/000058/000195/000603
000604,Komentarz832,Grupa 2,Dzial 3,Shawn Santos ,000015/000088/000186/000604
000605,Komentarz304,Grupa 2,Dzial 2,Christina Nguyen,000019/000083/000245/000605
000606,Komentarz196,Grupa 1,Dzial 1,Orlando Delgado,000011/000057/000122/000606
000607,Komentarz810,Grupa 2,Dzial 2,Guy Moran ,000018/000097/000239/000607
000608,Komentarz466,Grupa 0,Dzial 2,Jenna Dean,000020/000087/000207/000608
000609,Komentarz982,Grupa 1,Dzial 0,Alison Lyons,000004/000053/000256/000609
000610,Komentarz20,Grupa 1,Dzial 1,Angelica Hale,000010/000092/000319/000610
000611,Komentarz296,Grupa 1,Dzial 3,Izydor Patryk,000009/000032/000181/000611
000612,Komentarz519,Grupa 1,Dzial 1,Brett Swanson ,000022/000049/000102/000612
000613,Komentarz738,Grupa 2,Dzial 3,Corey Mccormick ,000025/000040/000292/000613
000614,Komentarz39,Grupa 0,Dzial 3,Jose Gilbert ,000018/000071/000199/000614
000615,Komentarz599,Grupa 0,Dzial 1,Frederick Mclaughlin,000005/000080/000143/000615
000616,Komentarz843,Grupa 1,Dzial 0,Rogelio Tucker,000017/000093/000168/000616
000617,Komentarz144,Grupa 0,Dzial 3,Paulette Mcdaniel ,000014/000073/000223/000617
000618,Komentarz629,Grupa 1,Dzial 0,Rogelio Tucker,000010/000092/000319/000618
000619,Komentarz834,Grupa 0,Dzial 3,Jose Gilbert ,000004/000053/000304/000619
000620,Komentarz339,Grupa 2,Dzial 2,Guy Moran ,000016/000055/000211/000620
000621,Komentarz253,Grupa 2,Dzial 0,Phil Briggs,000020/000087/000224/000621
000622,Komentarz529,Grupa 1,Dzial 2,Tanya Bridges ,000025/000059/000317/000622
000623,Komentarz223,Grupa 0,Dzial 2,Jenna Dean,000024/000042/000254/000623
000624,Komentarz132,Grupa 2,Dzial 1,Ramiro Thompson,000013/000066/000163/000624
000625,Komentarz383,Grupa 0,Dzial 2,Irene Sandoval,000005/000080/000189/000625
000626,Komentarz560,Grupa 2,Dzial 1,Diana Pierce ,000018/000097/000205/000626
000627,Komentarz338,Grupa 0,Dzial 2,Cora Moody ,000016/000100/000242/000627
000628,Komentarz588,Grupa 2,Dzial 2,Guy Moran ,000017/000093/000168/000628
000629,Komentarz58,Grupa 0,Dzial 2,Cora Moody ,000025/000051/000267/000629
000630,Komentarz641,Grupa 2,Dzial 0,Phil Briggs,000010/000041/000130/000630
000631,Komentarz50,Grupa 0,Dzial 2,Jenna Dean,000009/000085/000104/000631
000632,Komentarz718,Grupa 2,Dzial 1,Alan Underwood ,000009/000032/000181/000632
000633,Komentarz188,Grupa 0,Dzial 2,Allen Thompson,000001/000033/000111/000633
000634,Komentarz494,Grupa 2,Dzial 3,Shawn Santos ,000010/000041/000130/000634
000635,Komentarz539,Grupa 0,Dzial 2,Irene Sandoval,000010/000041/000121/000635
000636,Komentarz201,Grupa 0,Dzial 3,Naomi Shelton,000025/000051/000114/000636
000637,Komentarz384,Grupa 0,Dzial 2,Jenna Dean,000005/000030/000191/000637
000638,Komentarz295,Grupa 1,Dzial 1,Orlando Delgado,000004/000036/000309/000638
000639,Komentarz473,Grupa 2,Dzial 1,Roy Weaver ,000014/000095/000187/000639
000640,Komentarz856,Grupa 2,Dzial 1,Marta Clarke,000013/000072/000229/000640
000641,Komentarz302,Grupa 2,Dzial 2,Alberto Allison ,000014/000095/000187/000641
000642,Komentarz751,Grupa 0,Dzial 2,Allen Thompson,000004/000053/000304/000642
000643,Komentarz723,Grupa 2,Dzial 1,Diana Pierce ,000005/000080/000143/000643
000644,Komentarz290,Grupa 1,Dzial 3,Izydor Patryk,000002/000050/000307/000644
000645,Komentarz721,Grupa 1,Dzial 0,Alison Lyons,000015/000088/000235/000645
000646,Komentarz748,Grupa 0,Dzial 3,Janie Grant,000020/000044/000295/000646
