Numer;Komentarz;Grupa;Dzial;Osoba;Sciezka
370;Komentarz491;Grupa 2;Dzial 1;Alan Underwood ;10/41/130/370
371;Komentarz409;Grupa 0;Dzial 2;Jenna Dean;16/99/299/371
372;Komentarz858;Grupa 0;Dzial 3;Salvador Reese ;9/68/234/372
373;Komentarz484;Grupa 0;Dzial 3;Jose Gilbert ;19/65/251/373
374;Komentarz66;Grupa 0;Dzial 1;Frederick Mclaughlin;2/61/248/374
375;Komentarz439;Grupa 0;Dzial 3;Paulette Mcdaniel ;2/61/174/375
376;Komentarz683;Grupa 0;Dzial 2;Irene Sandoval;9/68/244/376
377;Komentarz60;Grupa 0;Dzial 3;Salvador Reese ;5/30/173/377
378;Komentarz175;Grupa 1;Dzial 3;Izydor Patryk;12/58/237/378
379;Komentarz711;Grupa 1;Dzial 0;Alison Lyons;13/98/176/379
380;Komentarz645;Grupa 2;Dzial 1;Alan Underwood ;19/35/118/380
381;Komentarz352;Grupa 2;Dzial 1;Marta Clarke;25/40/292/381
382;Komentarz735;Grupa 1;Dzial 0;Elsie Alvarez;19/65/192/382
383;Komentarz797;Grupa 1;Dzial 1;Elizabeth Conner;6/39/112/383
384;Komentarz163;Grupa 2;Dzial 2;Guy Moran ;19/65/258/384
385;Komentarz453;Grupa 1;Dzial 0;Elsie Alvarez;10/41/197/385
386;Komentarz54;Grupa 0;Dzial 2;Nora Roberts;14/27/116/386
387;Komentarz5;Grupa 2;Dzial 3;Shawn Santos ;11/77/247/387
388;Komentarz52;Grupa 1;Dzial 1;Angelica Hale;14/60/133/388
389;Komentarz46;Grupa 1;Dzial 1;Angelica Hale;11/77/247/389
390;Komentarz690;Grupa 1;Dzial 1;Ernestine Mathis ;21/79/184/390
391;Komentarz557;Grupa 2;Dzial 1;Roy Weaver ;21/79/184/391
392;Komentarz156;Grupa 0;Dzial 3;Salvador Reese ;17/93/125/392
393;Komentarz122;Grupa 0;Dzial 3;Jose Gilbert ;9/32/181/393
394;Komentarz87;Grupa 1;Dzial 3;Izydor Patryk;11/96/321/394
395;Komentarz602;Grupa 2;Dzial 2;Alberto Allison ;9/85/322/395
396;Komentarz833;Grupa 0;Dzial 2;Noah Barnes ;19/82/289/396
397;Komentarz382;Grupa 1;Dzial 0;Rogelio Tucker;4/31/208/397
398;Komentarz595;Grupa 0;Dzial 2;Cora Moody ;16/55/211/398
399;Komentarz393;Grupa 0;Dzial 2;Allen Thompson;16/100/242/399
400;Komentarz966;Grupa 0;Dzial 2;Nora Roberts;19/65/252/400
401;Komentarz94;Grupa 1;Dzial 1;Brett Swanson ;25/59/317/401
402;Komentarz179;Grupa 1;Dzial 3;Izydor Patryk;4/31/155/402
403;Komentarz839;Grupa 0;Dzial 3;Paulette Mcdaniel ;22/81/249/403
404;Komentarz377;Grupa 2;Dzial 1;Ramiro Thompson;19/83/245/404
405;Komentarz663;Grupa 0;Dzial 3;Lorraine Cortez ;9/85/322/405
406;Komentarz827;Grupa 2;Dzial 3;Shawn Santos ;8/29/179/406
407;Komentarz305;Grupa 1;Dzial 1;Orlando Delgado;6/26/253/407
408;Komentarz304;Grupa 1;Dzial 3;Rex Casey ;13/66/163/408
409;Komentarz183;Grupa 2;Dzial 2;Guy Moran ;14/73/279/409
410;Komentarz337;Grupa 2;Dzial 3;Corey Mccormick ;13/66/163/410
411;Komentarz308;Grupa 0;Dzial 2;Cora Moody ;10/37/302/411
412;Komentarz951;Grupa 0;Dzial 3;Dennis Kelley ;13/72/229/412
413;Komentarz682;Grupa 1;Dzial 1;Angelica Hale;4/53/304/413
414;Komentarz562;Grupa 2;Dzial 0;Cecelia Joseph;5/30/315/414
415;Komentarz781;Grupa 2;Dzial 1;Roy Weaver ;6/26/202/415
416;Komentarz59;Grupa 2;Dzial 0;Cecelia Joseph;4/53/198/416
417;Komentarz765;Grupa 1;Dzial 0;Rogelio Tucker;5/30/191/417
418;Komentarz282;Grupa 2;Dzial 1;Ramiro Thompson;1/33/111/418
419;Komentarz160;Grupa 0;Dzial 1;Frederick Mclaughlin;18/71/238/419
420;Komentarz761;Grupa 2;Dzial 1;Diana Pierce ;19/83/221/420
421;Komentarz94;Grupa 2;Dzial 1;Roy Weaver ;23/78/255/421
422;Komentarz223;Grupa 1;Dzial 1;Orlando Delgado;9/47/288/422
423;Komentarz564;Grupa 2;Dzial 1;Marta Clarke;15/88/235/423
424;Komentarz454;Grupa 0;Dzial 3;Paulette Mcdaniel ;8/29/179/424
425;Komentarz169;Grupa 1;Dzial 0;Alison Lyons;5/30/110/425
426;Komentarz302;Grupa 1;Dzial 1;Luther Ramsey ;12/70/250/426
427;Komentarz36;Grupa 1;Dzial 1;Ernestine Mathis ;19/83/282/427
428;Komentarz119;Grupa 1;Dzial 0;Elsie Alvarez;17/93/297/428
429;Komentarz740;Grupa 0;Dzial 3;Jose Gilbert ;22/81/249/429
430;Komentarz803;Grupa 2;Dzial 0;Phil Briggs;13/98/176/430
431;Komentarz958;Grupa 0;Dzial 2;Bernard Ellis ;14/60/185/431
432;Komentarz425;Grupa 1;Dzial 3;Izydor Patryk;10/37/294/432
433;Komentarz283;Grupa 2;Dzial 1;Diana Pierce ;22/49/169/433
434;Komentarz396;Grupa 0;Dzial 3;Jose Gilbert ;17/93/194/434
435;Komentarz599;Grupa 0;Dzial 3;Dennis Kelley ;25/51/267/435
436;Komentarz282;Grupa 0;Dzial 2;Allen Thompson;10/34/204/436
437;Komentarz19;Grupa 0;Dzial 3;Dennis Kelley ;25/59/317/437
438;Komentarz6;Grupa 0;Dzial 2;Al Welch ;6/39/112/438
439;Komentarz524;Grupa 1;Dzial 3;Rex Casey ;12/58/271/439
440;Komentarz782;Grupa 1;Dzial 0;Elsie Alvarez;12/58/237/440
441;Komentarz554;Grupa 2;Dzial 1;Ramiro Thompson;17/93/194/441
442;Komentarz669;Grupa 0;Dzial 3;Salvador Reese ;4/31/208/442
443;Komentarz306;Grupa 0;Dzial 2;Noah Barnes ;21/79/184/443
444;Komentarz146;Grupa 0;Dzial 3;Paulette Mcdaniel ;6/39/112/444
445;Komentarz124;Grupa 2;Dzial 2;Guy Moran ;18/86/180/445
446;Komentarz407;Grupa 0;Dzial 3;Lorraine Cortez ;9/85/104/446
447;Komentarz78;Grupa 0;Dzial 3;Salvador Reese ;14/27/116/447
448;Komentarz971;Grupa 0;Dzial 2;Noah Barnes ;19/83/269/448
449;Komentarz383;Grupa 2;Dzial 3;Corey Mccormick ;12/70/250/449
450;Komentarz936;Grupa 0;Dzial 3;Naomi Shelton;9/47/288/450
451;Komentarz404;Grupa 0;Dzial 2;Irene Sandoval;14/60/185/451
452;Komentarz942;Grupa 0;Dzial 3;Dennis Kelley ;13/98/150/452
453;Komentarz503;Grupa 1;Dzial 0;Alison Lyons;11/96/310/453
454;Komentarz454;Grupa 0;Dzial 3;Lorraine Cortez ;12/46/216/454
455;Komentarz763;Grupa 1;Dzial 3;Izydor Patryk;4/31/155/455
456;Komentarz80;Grupa 0;Dzial 3;Dennis Kelley ;18/97/239/456
457;Komentarz497;Grupa 0;Dzial 2;Jenna Dean;11/57/175/457
458;Komentarz582;Grupa 2;Dzial 1;Alan Underwood ;9/85/322/458
459;Komentarz862;Grupa 0;Dzial 3;Janie Grant;6/39/112/459
460;Komentarz383;Grupa 1;Dzial 3;Rex Casey ;19/35/257/460
461;Komentarz859;Grupa 1;Dzial 1;Luther Ramsey ;14/60/133/461
462;Komentarz540;Grupa 1;Dzial 0;Alison Lyons;13/72/161/462
463;Komentarz212;Grupa 1;Dzial 3;Izydor Patryk;20/63/166/463
464;Komentarz142;Grupa 2;Dzial 1;Alan Underwood ;13/98/176/464
465;Komentarz113;Grupa 0;Dzial 3;Jose Gilbert ;11/96/108/465
466;Komentarz934;Grupa 2;Dzial 1;Ramiro Thompson;5/30/154/466
467;Komentarz440;Grupa 0;Dzial 3;Dennis Kelley ;10/92/190/467
468;Komentarz52;Grupa 1;Dzial 2;Tanya Bridges ;21/52/264/468
469;Komentarz457;Grupa 1;Dzial 1;Luther Ramsey ;13/98/278/469
470;Komentarz929;Grupa 0;Dzial 2;Allen Thompson;19/83/221/470
471;Komentarz544;Grupa 0;Dzial 2;Jenna Dean;22/49/231/471
472;Komentarz293;Grupa 0;Dzial 2;Allen Thompson;17/93/168/472
473;Komentarz7;Grupa 0;Dzial 2;Allen Thompson;14/60/185/473
474;Komentarz729;Grupa 0;Dzial 3;Dennis Kelley ;25/40/280/474
475;Komentarz225;Grupa 0;Dzial 3;Janie Grant;10/75/273/475
476;Komentarz406;Grupa 1;Dzial 1;Elizabeth Conner;20/87/207/476
477;Komentarz280;Grupa 0;Dzial 3;Lorraine Cortez ;13/72/246/477
478;Komentarz292;Grupa 1;Dzial 1;Brett Swanson ;18/97/205/478
479;Komentarz208;Grupa 1;Dzial 0;Alison Lyons;14/60/201/479
480;Komentarz76;Grupa 2;Dzial 1;Alan Underwood ;4/53/256/480
481;Komentarz442;Grupa 0;Dzial 3;Dennis Kelley ;19/65/252/481
482;Komentarz575;Grupa 0;Dzial 2;Bernard Ellis ;4/53/106/482
483;Komentarz490;Grupa 2;Dzial 1;Ramiro Thompson;2/84/212/483
484;Komentarz308;Grupa 1;Dzial 0;Alison Lyons;9/32/218/484
485;Komentarz409;Grupa 2;Dzial 0;Phil Briggs;20/63/228/485
486;Komentarz710;Grupa 1;Dzial 1;Brett Swanson ;11/77/243/486
487;Komentarz675;Grupa 0;Dzial 3;Janie Grant;12/74/149/487
488;Komentarz443;Grupa 0;Dzial 2;Allen Thompson;13/66/152/488
489;Komentarz474;Grupa 2;Dzial 2;Christina Nguyen;10/41/316/489
490;Komentarz487;Grupa 1;Dzial 0;Alison Lyons;14/60/201/490
491;Komentarz834;Grupa 0;Dzial 2;Noah Barnes ;10/75/323/491
492;Komentarz567;Grupa 1;Dzial 1;Angelica Hale;11/96/321/492
493;Komentarz643;Grupa 0;Dzial 3;Jose Gilbert ;4/53/106/493
494;Komentarz366;Grupa 2;Dzial 0;Phil Briggs;9/32/218/494
495;Komentarz138;Grupa 2;Dzial 1;Roy Weaver ;20/63/166/495
496;Komentarz756;Grupa 0;Dzial 1;Frederick Mclaughlin;12/58/195/496
497;Komentarz184;Grupa 1;Dzial 1;Orlando Delgado;10/75/296/497
498;Komentarz890;Grupa 0;Dzial 3;Jose Gilbert ;16/55/211/498
499;Komentarz882;Grupa 1;Dzial 3;Izydor Patryk;19/82/305/499
500;Komentarz327;Grupa 1;Dzial 0;Rogelio Tucker;4/53/213/500
501;Komentarz807;Grupa 0;Dzial 2;Noah Barnes ;9/47/288/501
502;Komentarz157;Grupa 0;Dzial 2;Al Welch ;5/30/191/502
503;Komentarz885;Grupa 2;Dzial 2;Christina Nguyen;1/33/111/503
504;Komentarz13;Grupa 2;Dzial 0;Phil Briggs;6/39/112/504
505;Komentarz676;Grupa 0;Dzial 3;Paulette Mcdaniel ;2/61/109/505
506;Komentarz79;Grupa 0;Dzial 3;Salvador Reese ;9/85/103/506
507;Komentarz513;Grupa 2;Dzial 1;Roy Weaver ;2/50/324/507
508;Komentarz675;Grupa 1;Dzial 1;Ernestine Mathis ;13/66/157/508
509;Komentarz284;Grupa 0;Dzial 2;Irene Sandoval;14/73/300/509
510;Komentarz315;Grupa 0;Dzial 3;Salvador Reese ;19/83/282/510
511;Komentarz155;Grupa 0;Dzial 3;Paulette Mcdaniel ;10/37/294/511
512;Komentarz318;Grupa 2;Dzial 0;Phil Briggs;5/30/315/512
513;Komentarz309;Grupa 2;Dzial 1;Roy Weaver ;14/73/300/513
514;Komentarz527;Grupa 0;Dzial 3;Naomi Shelton;12/58/271/514
515;Komentarz632;Grupa 0;Dzial 1;Frederick Mclaughlin;5/38/318/515
516;Komentarz803;Grupa 2;Dzial 2;Christina Nguyen;11/77/291/516
517;Komentarz947;Grupa 2;Dzial 2;Guy Moran ;11/57/175/517
518;Komentarz783;Grupa 2;Dzial 2;Alberto Allison ;21/79/177/518
519;Komentarz749;Grupa 2;Dzial 2;Christina Nguyen;11/77/136/519
520;Komentarz256;Grupa 0;Dzial 1;Frederick Mclaughlin;5/30/154/520
521;Komentarz236;Grupa 2;Dzial 0;Cecelia Joseph;15/88/186/521
522;Komentarz345;Grupa 2;Dzial 1;Roy Weaver ;13/72/246/522
523;Komentarz702;Grupa 2;Dzial 2;Guy Moran ;2/50/301/523
524;Komentarz849;Grupa 0;Dzial 3;Paulette Mcdaniel ;9/68/277/524
525;Komentarz460;Grupa 1;Dzial 0;Rogelio Tucker;5/80/189/525
526;Komentarz841;Grupa 0;Dzial 3;Janie Grant;22/94/153/526
527;Komentarz26;Grupa 0;Dzial 1;Frederick Mclaughlin;19/83/245/527
528;Komentarz746;Grupa 2;Dzial 1;Alan Underwood ;6/26/138/528
529;Komentarz632;Grupa 2;Dzial 3;Shawn Santos ;13/66/163/529
530;Komentarz286;Grupa 0;Dzial 3;Dennis Kelley ;5/38/272/530
531;Komentarz140;Grupa 0;Dzial 3;Paulette Mcdaniel ;20/87/224/531
532;Komentarz818;Grupa 1;Dzial 1;Orlando Delgado;10/34/204/532
533;Komentarz742;Grupa 2;Dzial 1;Diana Pierce ;19/82/305/533
534;Komentarz483;Grupa 2;Dzial 3;Shawn Santos ;14/60/133/534
535;Komentarz531;Grupa 1;Dzial 0;Alison Lyons;8/62/200/535
536;Komentarz117;Grupa 2;Dzial 0;Phil Briggs;22/81/139/536
537;Komentarz930;Grupa 2;Dzial 1;Ramiro Thompson;12/70/232/537
538;Komentarz509;Grupa 1;Dzial 1;Luther Ramsey ;14/73/260/538
539;Komentarz690;Grupa 2;Dzial 2;Alberto Allison ;2/61/174/539
540;Komentarz129;Grupa 0;Dzial 3;Lorraine Cortez ;21/79/177/540
541;Komentarz506;Grupa 1;Dzial 1;Ernestine Mathis ;11/77/136/541
542;Komentarz266;Grupa 1;Dzial 1;Luther Ramsey ;9/47/303/542
543;Komentarz903;Grupa 2;Dzial 3;Corey Mccormick ;21/52/170/543
544;Komentarz641;Grupa 0;Dzial 2;Allen Thompson;12/74/149/544
545;Komentarz354;Grupa 0;Dzial 2;Noah Barnes ;11/96/108/545
546;Komentarz583;Grupa 2;Dzial 1;Alan Underwood ;20/63/160/546
547;Komentarz119;Grupa 1;Dzial 2;Tanya Bridges ;21/79/177/547
548;Komentarz836;Grupa 0;Dzial 2;Bernard Ellis ;19/76/135/548
549;Komentarz719;Grupa 1;Dzial 1;Luther Ramsey ;6/26/253/549
550;Komentarz233;Grupa 0;Dzial 3;Janie Grant;11/54/151/550
551;Komentarz271;Grupa 1;Dzial 3;Rex Casey ;13/48/178/551
552;Komentarz925;Grupa 2;Dzial 1;Roy Weaver ;4/53/256/552
553;Komentarz151;Grupa 2;Dzial 1;Diana Pierce ;25/51/114/553
554;Komentarz948;Grupa 2;Dzial 1;Diana Pierce ;24/42/263/554
555;Komentarz452;Grupa 0;Dzial 3;Janie Grant;5/30/110/555
556;Komentarz403;Grupa 0;Dzial 1;Frederick Mclaughlin;9/68/277/556
557;Komentarz910;Grupa 0;Dzial 1;Frederick Mclaughlin;13/48/178/557
558;Komentarz294;Grupa 1;Dzial 2;Tanya Bridges ;2/50/324/558
559;Komentarz322;Grupa 2;Dzial 1;Marta Clarke;10/75/323/559
560;Komentarz754;Grupa 0;Dzial 3;Dennis Kelley ;18/97/239/560
561;Komentarz58;Grupa 2;Dzial 3;Corey Mccormick ;14/73/260/561
562;Komentarz451;Grupa 2;Dzial 1;Alan Underwood ;11/96/227/562
563;Komentarz968;Grupa 0;Dzial 2;Cora Moody ;9/68/234/563
564;Komentarz935;Grupa 2;Dzial 0;Phil Briggs;4/36/309/564
565;Komentarz94;Grupa 0;Dzial 2;Bernard Ellis ;4/31/208/565
566;Komentarz465;Grupa 2;Dzial 0;Phil Briggs;13/72/161/566
567;Komentarz233;Grupa 1;Dzial 1;Ernestine Mathis ;10/92/190/567
568;Komentarz319;Grupa 0;Dzial 3;Naomi Shelton;8/62/200/568
569;Komentarz138;Grupa 1;Dzial 1;Luther Ramsey ;10/37/270/569
570;Komentarz117;Grupa 0;Dzial 3;Naomi Shelton;2/61/109/570
571;Komentarz508;Grupa 1;Dzial 0;Rogelio Tucker;1/33/111/571
572;Komentarz944;Grupa 2;Dzial 0;Cecelia Joseph;19/76/135/572
573;Komentarz544;Grupa 0;Dzial 2;Al Welch ;11/28/308/573
574;Komentarz707;Grupa 1;Dzial 2;Tanya Bridges ;13/66/157/574
575;Komentarz204;Grupa 1;Dzial 1;Luther Ramsey ;8/29/179/575
576;Komentarz453;Grupa 1;Dzial 3;Izydor Patryk;11/77/136/576
577;Komentarz711;Grupa 1;Dzial 0;Elsie Alvarez;10/75/311/577
578;Komentarz305;Grupa 2;Dzial 2;Alberto Allison ;1/33/111/578
579;Komentarz167;Grupa 0;Dzial 3;Salvador Reese ;20/44/159/579
580;Komentarz349;Grupa 2;Dzial 3;Corey Mccormick ;11/54/151/580
581;Komentarz860;Grupa 1;Dzial 2;Tanya Bridges ;19/35/257/581
582;Komentarz387;Grupa 0;Dzial 2;Al Welch ;8/29/113/582
583;Komentarz226;Grupa 0;Dzial 2;Noah Barnes ;23/78/255/583
584;Komentarz396;Grupa 2;Dzial 0;Cecelia Joseph;4/53/304/584
585;Komentarz819;Grupa 0;Dzial 3;Janie Grant;10/34/119/585
586;Komentarz856;Grupa 2;Dzial 2;Guy Moran ;14/73/223/586
587;Komentarz834;Grupa 1;Dzial 3;Rex Casey ;10/75/117/587
588;Komentarz175;Grupa 1;Dzial 1;Angelica Hale;19/65/252/588
589;Komentarz897;Grupa 2;Dzial 3;Corey Mccormick ;19/65/258/589
590;Komentarz747;Grupa 1;Dzial 1;Orlando Delgado;11/54/314/590
591;Komentarz316;Grupa 2;Dzial 3;Shawn Santos ;4/31/155/591
592;Komentarz491;Grupa 1;Dzial 2;Tanya Bridges ;10/41/121/592
593;Komentarz364;Grupa 0;Dzial 2;Bernard Ellis ;20/63/160/593
594;Komentarz945;Grupa 2;Dzial 1;Diana Pierce ;14/95/187/594
595;Komentarz117;Grupa 1;Dzial 0;Elsie Alvarez;11/54/314/595
596;Komentarz389;Grupa 2;Dzial 2;Guy Moran ;11/90/171/596
597;Komentarz232;Grupa 0;Dzial 2;Nora Roberts;4/53/304/597
598;Komentarz664;Grupa 0;Dzial 1;Frederick Mclaughlin;19/83/245/598
599;Komentarz745;Grupa 1;Dzial 0;Rogelio Tucker;9/47/288/599
600;Komentarz794;Grupa 1;Dzial 3;Rex Casey ;18/71/286/600
601;Komentarz202;Grupa 0;Dzial 3;Naomi Shelton;11/77/243/601
602;Komentarz157;Grupa 1;Dzial 0;Elsie Alvarez;10/34/233/602
603;Komentarz719;Grupa 0;Dzial 3;Salvador Reese ;12/58/195/603
604;Komentarz832;Grupa 2;Dzial 3;Shawn Santos ;15/88/186/604
605;Komentarz304;Grupa 2;Dzial 2;Christina Nguyen;19/83/245/605
606;Komentarz196;Grupa 1;Dzial 1;Orlando Delgado;11/57/122/606
607;Komentarz810;Grupa 2;Dzial 2;Guy Moran ;18/97/239/607
608;Komentarz466;Grupa 0;Dzial 2;Jenna Dean;20/87/207/608
609;Komentarz982;Grupa 1;Dzial 0;Alison Lyons;4/53/256/609
610;Komentarz20;Grupa 1;Dzial 1;Angelica Hale;10/92/319/610
611;Komentarz296;Grupa 1;Dzial 3;Izydor Patryk;9/32/181/611
612;Komentarz519;Grupa 1;Dzial 1;Brett Swanson ;22/49/102/612
613;Komentarz738;Grupa 2;Dzial 3;Corey Mccormick ;25/40/292/613
614;Komentarz39;Grupa 0;Dzial 3;Jose Gilbert ;18/71/199/614
615;Komentarz599;Grupa 0;Dzial 1;Frederick Mclaughlin;5/80/143/615
616;Komentarz843;Grupa 1;Dzial 0;Rogelio Tucker;17/93/168/616
617;Komentarz144;Grupa 0;Dzial 3;Paulette Mcdaniel ;14/73/223/617
618;Komentarz629;Grupa 1;Dzial 0;Rogelio Tucker;10/92/319/618
619;Komentarz834;Grupa 0;Dzial 3;Jose Gilbert ;4/53/304/619
620;Komentarz339;Grupa 2;Dzial 2;Guy Moran ;16/55/211/620
621;Komentarz253;Grupa 2;Dzial 0;Phil Briggs;20/87/224/621
622;Komentarz529;Grupa 1;Dzial 2;Tanya Bridges ;25/59/317/622
623;Komentarz223;Grupa 0;Dzial 2;Jenna Dean;24/42/254/623
624;Komentarz132;Grupa 2;Dzial 1;Ramiro Thompson;13/66/163/624
625;Komentarz383;Grupa 0;Dzial 2;Irene Sandoval;5/80/189/625
626;Komentarz560;Grupa 2;Dzial 1;Diana Pierce ;18/97/205/626
627;Komentarz338;Grupa 0;Dzial 2;Cora Moody ;16/100/242/627
628;Komentarz588;Grupa 2;Dzial 2;Guy Moran ;17/93/168/628
629;Komentarz58;Grupa 0;Dzial 2;Cora Moody ;25/51/267/629
630;Komentarz641;Grupa 2;Dzial 0;Phil Briggs;10/41/130/630
631;Komentarz50;Grupa 0;Dzial 2;Jenna Dean;9/85/104/631
632;Komentarz718;Grupa 2;Dzial 1;Alan Underwood ;9/32/181/632
633;Komentarz188;Grupa 0;Dzial 2;Allen Thompson;1/33/111/633
634;Komentarz494;Grupa 2;Dzial 3;Shawn Santos ;10/41/130/634
635;Komentarz539;Grupa 0;Dzial 2;Irene Sandoval;10/41/121/635
636;Komentarz201;Grupa 0;Dzial 3;Naomi Shelton;25/51/114/636
637;Komentarz384;Grupa 0;Dzial 2;Jenna Dean;5/30/191/637
638;Komentarz295;Grupa 1;Dzial 1;Orlando Delgado;4/36/309/638
639;Komentarz473;Grupa 2;Dzial 1;Roy Weaver ;14/95/187/639
640;Komentarz856;Grupa 2;Dzial 1;Marta Clarke;13/72/229/640
641;Komentarz302;Grupa 2;Dzial 2;Alberto Allison ;14/95/187/641
642;Komentarz751;Grupa 0;Dzial 2;Allen Thompson;4/53/304/642
643;Komentarz723;Grupa 2;Dzial 1;Diana Pierce ;5/80/143/643
644;Komentarz290;Grupa 1;Dzial 3;Izydor Patryk;2/50/307/644
645;Komentarz721;Grupa 1;Dzial 0;Alison Lyons;15/88/235/645
646;Komentarz748;Grupa 0;Dzial 3;Janie Grant;20/44/295/646
647;Komentarz908;Grupa 2;Dzial 1;Ramiro Thompson;10/92/190/647
648;Komentarz211;Grupa 1;Dzial 3;Izydor Patryk;5/38/287/648
649;Komentarz726;Grupa 1;Dzial 0;Elsie Alvarez;19/82/305/649
650;Komentarz827;Grupa 1;Dzial 1;Angelica Hale;17/93/297/650
651;Komentarz970;Grupa 0;Dzial 3;Lorraine Cortez ;19/83/282/651
652;Komentarz840;Grupa 0;Dzial 2;Cora Moody ;11/96/310/652
653;Komentarz882;Grupa 0;Dzial 2;Jenna Dean;2/50/324/653
654;Komentarz200;Grupa 1;Dzial 0;Alison Lyons;20/63/160/654
655;Komentarz562;Grupa 2;Dzial 2;Christina Nguyen;12/74/312/655
656;Komentarz855;Grupa 2;Dzial 0;Cecelia Joseph;10/34/233/656
657;Komentarz19;Grupa 1;Dzial 1;Orlando Delgado;9/47/288/657
658;Komentarz624;Grupa 0;Dzial 2;Noah Barnes ;21/52/170/658
659;Komentarz617;Grupa 1;Dzial 1;Luther Ramsey ;20/69/222/659
660;Komentarz475;Grupa 1;Dzial 0;Rogelio Tucker;12/74/149/660
661;Komentarz173;Grupa 2;Dzial 1;Diana Pierce ;9/85/322/661
662;Komentarz722;Grupa 1;Dzial 1;Brett Swanson ;5/80/236/662
663;Komentarz900;Grupa 1;Dzial 1;Elizabeth Conner;13/66/152/663
664;Komentarz267;Grupa 0;Dzial 3;Jose Gilbert ;12/74/266/664
665;Komentarz766;Grupa 0;Dzial 2;Allen Thompson;5/80/120/665
666;Komentarz385;Grupa 1;Dzial 1;Luther Ramsey ;13/72/161/666
667;Komentarz488;Grupa 2;Dzial 1;Marta Clarke;10/92/319/667
668;Komentarz995;Grupa 1;Dzial 3;Izydor Patryk;19/76/135/668
669;Komentarz154;Grupa 2;Dzial 3;Shawn Santos ;22/49/169/669
670;Komentarz795;Grupa 0;Dzial 2;Bernard Ellis ;11/96/321/670
671;Komentarz409;Grupa 0;Dzial 2;Bernard Ellis ;4/36/309/671
672;Komentarz31;Grupa 0;Dzial 2;Cora Moody ;5/30/191/672
673;Komentarz38;Grupa 2;Dzial 3;Corey Mccormick ;4/31/208/673
674;Komentarz828;Grupa 1;Dzial 0;Elsie Alvarez;14/73/260/674
675;Komentarz966;Grupa 0;Dzial 3;Janie Grant;14/95/187/675
676;Komentarz839;Grupa 0;Dzial 3;Paulette Mcdaniel ;13/66/163/676
677;Komentarz176;Grupa 2;Dzial 1;Ramiro Thompson;22/81/249/677
678;Komentarz74;Grupa 0;Dzial 2;Irene Sandoval;11/77/291/678
679;Komentarz370;Grupa 2;Dzial 1;Diana Pierce ;5/30/315/679
680;Komentarz677;Grupa 1;Dzial 1;Angelica Hale;4/53/304/680
681;Komentarz701;Grupa 2;Dzial 3;Corey Mccormick ;8/29/241/681
682;Komentarz10;Grupa 1;Dzial 1;Ernestine Mathis ;11/54/127/682
683;Komentarz228;Grupa 2;Dzial 2;Christina Nguyen;6/39/112/683
684;Komentarz87;Grupa 2;Dzial 1;Diana Pierce ;22/49/169/684
685;Komentarz152;Grupa 1;Dzial 0;Alison Lyons;12/46/210/685
686;Komentarz552;Grupa 0;Dzial 2;Cora Moody ;2/50/324/686
687;Komentarz319;Grupa 0;Dzial 2;Jenna Dean;20/63/228/687
688;Komentarz370;Grupa 0;Dzial 1;Frederick Mclaughlin;11/96/321/688
689;Komentarz640;Grupa 1;Dzial 1;Angelica Hale;10/75/273/689
690;Komentarz930;Grupa 2;Dzial 0;Cecelia Joseph;19/82/275/690
691;Komentarz937;Grupa 1;Dzial 3;Izydor Patryk;10/41/316/691
692;Komentarz228;Grupa 2;Dzial 2;Christina Nguyen;9/85/124/692
693;Komentarz946;Grupa 1;Dzial 1;Brett Swanson ;5/38/287/693
694;Komentarz932;Grupa 0;Dzial 2;Al Welch ;11/28/308/694
695;Komentarz47;Grupa 0;Dzial 2;Cora Moody ;9/85/124/695
696;Komentarz385;Grupa 1;Dzial 3;Izydor Patryk;851968/16/100/696
697;Komentarz769;Grupa 0;Dzial 2;Noah Barnes ;6/26/290/697
698;Komentarz924;Grupa 2;Dzial 1;Ramiro Thompson;12/46/131/698
699;Komentarz550;Grupa 0;Dzial 2;Al Welch ;13/98/176/699
700;Komentarz390;Grupa 1;Dzial 3;Rex Casey ;10/75/117/700
701;Komentarz749;Grupa 0;Dzial 2;Noah Barnes ;9/47/137/701
702;Komentarz23;Grupa 0;Dzial 2;Allen Thompson;10/92/190/702
703;Komentarz906;Grupa 1;Dzial 0;Elsie Alvarez;15/88/219/703
704;Komentarz704;Grupa 1;Dzial 1;Orlando Delgado;11/77/188/704
705;Komentarz792;Grupa 2;Dzial 2;Christina Nguyen;10/41/197/705
706;Komentarz810;Grupa 0;Dzial 3;Jose Gilbert ;10/37/302/706
707;Komentarz778;Grupa 0;Dzial 3;Jose Gilbert ;10/34/233/707
708;Komentarz108;Grupa 0;Dzial 2;Bernard Ellis ;14/95/132/708
709;Komentarz241;Grupa 0;Dzial 3;Naomi Shelton;22/94/153/709
710;Komentarz809;Grupa 1;Dzial 1;Brett Swanson ;10/92/319/710
711;Komentarz506;Grupa 0;Dzial 2;Noah Barnes ;10/41/130/711
712;Komentarz183;Grupa 0;Dzial 2;Nora Roberts;11/77/291/712
713;Komentarz668;Grupa 0;Dzial 2;Al Welch ;13/98/278/713
714;Komentarz737;Grupa 1;Dzial 0;Alison Lyons;6/26/290/714
715;Komentarz358;Grupa 0;Dzial 3;Jose Gilbert ;9/47/165/715
716;Komentarz558;Grupa 0;Dzial 2;Noah Barnes ;11/96/108/716
