Numer;Komentarz;Grupa;Dzial;Osoba;Odpowiedz na
407;Komentarz178;Grupa 1;Dzial 1;Orlando Delgado;253
408;Komentarz113;Grupa 1;Dzial 3;Rex Casey ;163
409;Komentarz719;Grupa 2;Dzial 2;Guy Moran ;279
410;Komentarz58;Grupa 2;Dzial 3;Corey Mccormick ;163
411;Komentarz959;Grupa 0;Dzial 2;Cora Moody ;302
412;Komentarz675;Grupa 0;Dzial 3;Dennis Kelley ;229
413;Komentarz536;Grupa 1;Dzial 1;Angelica Hale;304
414;Komentarz283;Grupa 2;Dzial 0;Cecelia Joseph;315
415;Komentarz500;Grupa 2;Dzial 1;Roy Weaver ;202
416;Komentarz414;Grupa 2;Dzial 0;Cecelia Joseph;198
417;Komentarz831;Grupa 1;Dzial 0;Rogelio Tucker;191
418;Komentarz106;Grupa 2;Dzial 1;Ramiro Thompson;111
419;Komentarz371;Grupa 0;Dzial 1;Frederick Mclaughlin;238
420;Komentarz74;Grupa 2;Dzial 1;Diana Pierce ;221
421;Komentarz532;Grupa 2;Dzial 1;Roy Weaver ;255
422;Komentarz359;Grupa 1;Dzial 1;Orlando Delgado;288
423;Komentarz117;Grupa 2;Dzial 1;Marta Clarke;235
424;Komentarz522;Grupa 0;Dzial 3;Paulette Mcdaniel ;179
425;Komentarz289;Grupa 1;Dzial 0;Alison Lyons;110
426;Komentarz883;Grupa 1;Dzial 1;Luther Ramsey ;250
427;Komentarz282;Grupa 1;Dzial 1;Ernestine Mathis ;282
428;Komentarz910;Grupa 1;Dzial 0;Elsie Alvarez;297
429;Komentarz333;Grupa 0;Dzial 3;Jose Gilbert ;249
430;Komentarz248;Grupa 2;Dzial 0;Phil Briggs;176
431;Komentarz812;Grupa 0;Dzial 2;Bernard Ellis ;185
432;Komentarz934;Grupa 1;Dzial 3;Izydor Patryk;294
433;Komentarz347;Grupa 2;Dzial 1;Diana Pierce ;169
434;Komentarz687;Grupa 0;Dzial 3;Jose Gilbert ;194
435;Komentarz612;Grupa 0;Dzial 3;Dennis Kelley ;267
436;Komentarz773;Grupa 0;Dzial 2;Allen Thompson;204
437;Komentarz715;Grupa 0;Dzial 3;Dennis Kelley ;317
438;Komentarz424;Grupa 0;Dzial 2;Al Welch ;112
439;Komentarz410;Grupa 1;Dzial 3;Rex Casey ;271
440;Komentarz802;Grupa 1;Dzial 0;Elsie Alvarez;237
441;Komentarz766;Grupa 2;Dzial 1;Ramiro Thompson;194
442;Komentarz236;Grupa 0;Dzial 3;Salvador Reese ;208
443;Komentarz784;Grupa 0;Dzial 2;Noah Barnes ;184
444;Komentarz840;Grupa 0;Dzial 3;Paulette Mcdaniel ;112
445;Komentarz189;Grupa 2;Dzial 2;Guy Moran ;180
446;Komentarz549;Grupa 0;Dzial 3;Lorraine Cortez ;104
447;Komentarz399;Grupa 0;Dzial 3;Salvador Reese ;116
448;Komentarz862;Grupa 0;Dzial 2;Noah Barnes ;269
449;Komentarz42;Grupa 2;Dzial 3;Corey Mccormick ;250
450;Komentarz67;Grupa 0;Dzial 3;Naomi Shelton;288
451;Komentarz192;Grupa 0;Dzial 2;Irene Sandoval;185
452;Komentarz175;Grupa 0;Dzial 3;Dennis Kelley ;150
453;Komentarz237;Grupa 1;Dzial 0;Alison Lyons;310
454;Komentarz568;Grupa 0;Dzial 3;Lorraine Cortez ;216
455;Komentarz75;Grupa 1;Dzial 3;Izydor Patryk;155
456;Komentarz202;Grupa 0;Dzial 3;Dennis Kelley ;239
457;Komentarz943;Grupa 0;Dzial 2;Jenna Dean;175
458;Komentarz836;Grupa 2;Dzial 1;Alan Underwood ;322
459;Komentarz498;Grupa 0;Dzial 3;Janie Grant;112
460;Komentarz425;Grupa 1;Dzial 3;Rex Casey ;257
461;Komentarz377;Grupa 1;Dzial 1;Luther Ramsey ;133
462;Komentarz385;Grupa 1;Dzial 0;Alison Lyons;161
463;Komentarz469;Grupa 1;Dzial 3;Izydor Patryk;166
464;Komentarz333;Grupa 2;Dzial 1;Alan Underwood ;176
465;Komentarz436;Grupa 0;Dzial 3;Jose Gilbert ;108
466;Komentarz855;Grupa 2;Dzial 1;Ramiro Thompson;154
467;Komentarz567;Grupa 0;Dzial 3;Dennis Kelley ;190
468;Komentarz896;Grupa 1;Dzial 2;Tanya Bridges ;264
469;Komentarz794;Grupa 1;Dzial 1;Luther Ramsey ;278
470;Komentarz415;Grupa 0;Dzial 2;Allen Thompson;221
471;Komentarz583;Grupa 0;Dzial 2;Jenna Dean;231
472;Komentarz585;Grupa 0;Dzial 2;Allen Thompson;168
473;Komentarz995;Grupa 0;Dzial 2;Allen Thompson;185
474;Komentarz787;Grupa 0;Dzial 3;Dennis Kelley ;280
475;Komentarz534;Grupa 0;Dzial 3;Janie Grant;273
476;Komentarz242;Grupa 1;Dzial 1;Elizabeth Conner;207
477;Komentarz248;Grupa 0;Dzial 3;Lorraine Cortez ;246
478;Komentarz804;Grupa 1;Dzial 1;Brett Swanson ;205
479;Komentarz919;Grupa 1;Dzial 0;Alison Lyons;201
480;Komentarz172;Grupa 2;Dzial 1;Alan Underwood ;256
481;Komentarz594;Grupa 0;Dzial 3;Dennis Kelley ;252
482;Komentarz114;Grupa 0;Dzial 2;Bernard Ellis ;106
483;Komentarz41;Grupa 2;Dzial 1;Ramiro Thompson;212
484;Komentarz472;Grupa 1;Dzial 0;Alison Lyons;218
485;Komentarz930;Grupa 2;Dzial 0;Phil Briggs;228
486;Komentarz974;Grupa 1;Dzial 1;Brett Swanson ;243
487;Komentarz950;Grupa 0;Dzial 3;Janie Grant;149
488;Komentarz663;Grupa 0;Dzial 2;Allen Thompson;152
489;Komentarz946;Grupa 2;Dzial 2;Christina Nguyen;316
490;Komentarz274;Grupa 1;Dzial 0;Alison Lyons;201
491;Komentarz695;Grupa 0;Dzial 2;Noah Barnes ;323
492;Komentarz482;Grupa 1;Dzial 1;Angelica Hale;321
493;Komentarz74;Grupa 0;Dzial 3;Jose Gilbert ;106
494;Komentarz6;Grupa 2;Dzial 0;Phil Briggs;218
495;Komentarz956;Grupa 2;Dzial 1;Roy Weaver ;166
496;Komentarz514;Grupa 0;Dzial 1;Frederick Mclaughlin;195
497;Komentarz499;Grupa 1;Dzial 1;Orlando Delgado;296
498;Komentarz988;Grupa 0;Dzial 3;Jose Gilbert ;211
499;Komentarz607;Grupa 1;Dzial 3;Izydor Patryk;305
500;Komentarz287;Grupa 1;Dzial 0;Rogelio Tucker;213
501;Komentarz110;Grupa 0;Dzial 2;Noah Barnes ;288
502;Komentarz332;Grupa 0;Dzial 2;Al Welch ;191
503;Komentarz880;Grupa 2;Dzial 2;Christina Nguyen;111
504;Komentarz300;Grupa 2;Dzial 0;Phil Briggs;112
505;Komentarz204;Grupa 0;Dzial 3;Paulette Mcdaniel ;109
506;Komentarz167;Grupa 0;Dzial 3;Salvador Reese ;103
507;Komentarz626;Grupa 2;Dzial 1;Roy Weaver ;324
508;Komentarz489;Grupa 1;Dzial 1;Ernestine Mathis ;157
509;Komentarz743;Grupa 0;Dzial 2;Irene Sandoval;300
510;Komentarz39;Grupa 0;Dzial 3;Salvador Reese ;282
511;Komentarz708;Grupa 0;Dzial 3;Paulette Mcdaniel ;294
512;Komentarz950;Grupa 2;Dzial 0;Phil Briggs;315
513;Komentarz751;Grupa 2;Dzial 1;Roy Weaver ;300
514;Komentarz5;Grupa 0;Dzial 3;Naomi Shelton;271
515;Komentarz104;Grupa 0;Dzial 1;Frederick Mclaughlin;318
516;Komentarz342;Grupa 2;Dzial 2;Christina Nguyen;291
517;Komentarz645;Grupa 2;Dzial 2;Guy Moran ;175
518;Komentarz265;Grupa 2;Dzial 2;Alberto Allison ;177
519;Komentarz158;Grupa 2;Dzial 2;Christina Nguyen;136
520;Komentarz745;Grupa 0;Dzial 1;Frederick Mclaughlin;154
521;Komentarz330;Grupa 2;Dzial 0;Cecelia Joseph;186
522;Komentarz420;Grupa 2;Dzial 1;Roy Weaver ;246
523;Komentarz592;Grupa 2;Dzial 2;Guy Moran ;301
524;Komentarz455;Grupa 0;Dzial 3;Paulette Mcdaniel ;277
525;Komentarz759;Grupa 1;Dzial 0;Rogelio Tucker;189
526;Komentarz336;Grupa 0;Dzial 3;Janie Grant;153
527;Komentarz687;Grupa 0;Dzial 1;Frederick Mclaughlin;245
528;Komentarz851;Grupa 2;Dzial 1;Alan Underwood ;138
529;Komentarz334;Grupa 2;Dzial 3;Shawn Santos ;163
530;Komentarz78;Grupa 0;Dzial 3;Dennis Kelley ;272
531;Komentarz452;Grupa 0;Dzial 3;Paulette Mcdaniel ;224
532;Komentarz788;Grupa 1;Dzial 1;Orlando Delgado;204
533;Komentarz231;Grupa 2;Dzial 1;Diana Pierce ;305
534;Komentarz397;Grupa 2;Dzial 3;Shawn Santos ;133
535;Komentarz719;Grupa 1;Dzial 0;Alison Lyons;200
536;Komentarz324;Grupa 2;Dzial 0;Phil Briggs;139
537;Komentarz963;Grupa 2;Dzial 1;Ramiro Thompson;232
538;Komentarz369;Grupa 1;Dzial 1;Luther Ramsey ;260
539;Komentarz242;Grupa 2;Dzial 2;Alberto Allison ;174
540;Komentarz189;Grupa 0;Dzial 3;Lorraine Cortez ;177
541;Komentarz243;Grupa 1;Dzial 1;Ernestine Mathis ;136
542;Komentarz480;Grupa 1;Dzial 1;Luther Ramsey ;303
543;Komentarz486;Grupa 2;Dzial 3;Corey Mccormick ;170
544;Komentarz806;Grupa 0;Dzial 2;Allen Thompson;149
545;Komentarz848;Grupa 0;Dzial 2;Noah Barnes ;108
546;Komentarz965;Grupa 2;Dzial 1;Alan Underwood ;160
547;Komentarz259;Grupa 1;Dzial 2;Tanya Bridges ;177
548;Komentarz625;Grupa 0;Dzial 2;Bernard Ellis ;135
549;Komentarz180;Grupa 1;Dzial 1;Luther Ramsey ;253
550;Komentarz969;Grupa 0;Dzial 3;Janie Grant;151
551;Komentarz115;Grupa 1;Dzial 3;Rex Casey ;178
552;Komentarz56;Grupa 2;Dzial 1;Roy Weaver ;256
553;Komentarz895;Grupa 2;Dzial 1;Diana Pierce ;114
554;Komentarz732;Grupa 2;Dzial 1;Diana Pierce ;263
555;Komentarz839;Grupa 0;Dzial 3;Janie Grant;110
556;Komentarz418;Grupa 0;Dzial 1;Frederick Mclaughlin;277
557;Komentarz698;Grupa 0;Dzial 1;Frederick Mclaughlin;178
558;Komentarz368;Grupa 1;Dzial 2;Tanya Bridges ;324
559;Komentarz80;Grupa 2;Dzial 1;Marta Clarke;323
560;Komentarz953;Grupa 0;Dzial 3;Dennis Kelley ;239
561;Komentarz742;Grupa 2;Dzial 3;Corey Mccormick ;260
562;Komentarz348;Grupa 2;Dzial 1;Alan Underwood ;227
563;Komentarz750;Grupa 0;Dzial 2;Cora Moody ;234
564;Komentarz6;Grupa 2;Dzial 0;Phil Briggs;309
565;Komentarz421;Grupa 0;Dzial 2;Bernard Ellis ;208
566;Komentarz836;Grupa 2;Dzial 0;Phil Briggs;161
567;Komentarz283;Grupa 1;Dzial 1;Ernestine Mathis ;190
568;Komentarz266;Grupa 0;Dzial 3;Naomi Shelton;200
569;Komentarz534;Grupa 1;Dzial 1;Luther Ramsey ;270
570;Komentarz615;Grupa 0;Dzial 3;Naomi Shelton;109
571;Komentarz32;Grupa 1;Dzial 0;Rogelio Tucker;111
572;Komentarz718;Grupa 2;Dzial 0;Cecelia Joseph;135
573;Komentarz12;Grupa 0;Dzial 2;Al Welch ;308
574;Komentarz350;Grupa 1;Dzial 2;Tanya Bridges ;157
575;Komentarz365;Grupa 1;Dzial 1;Luther Ramsey ;179
576;Komentarz347;Grupa 1;Dzial 3;Izydor Patryk;136
577;Komentarz383;Grupa 1;Dzial 0;Elsie Alvarez;311
578;Komentarz987;Grupa 2;Dzial 2;Alberto Allison ;111
579;Komentarz228;Grupa 0;Dzial 3;Salvador Reese ;159
580;Komentarz698;Grupa 2;Dzial 3;Corey Mccormick ;151
581;Komentarz800;Grupa 1;Dzial 2;Tanya Bridges ;257
582;Komentarz774;Grupa 0;Dzial 2;Al Welch ;113
583;Komentarz238;Grupa 0;Dzial 2;Noah Barnes ;255
584;Komentarz435;Grupa 2;Dzial 0;Cecelia Joseph;304
585;Komentarz673;Grupa 0;Dzial 3;Janie Grant;119
586;Komentarz969;Grupa 2;Dzial 2;Guy Moran ;223
587;Komentarz83;Grupa 1;Dzial 3;Rex Casey ;117
588;Komentarz513;Grupa 1;Dzial 1;Angelica Hale;252
589;Komentarz689;Grupa 2;Dzial 3;Corey Mccormick ;258
590;Komentarz92;Grupa 1;Dzial 1;Orlando Delgado;314
591;Komentarz317;Grupa 2;Dzial 3;Shawn Santos ;155
592;Komentarz660;Grupa 1;Dzial 2;Tanya Bridges ;121
593;Komentarz755;Grupa 0;Dzial 2;Bernard Ellis ;160
594;Komentarz24;Grupa 2;Dzial 1;Diana Pierce ;187
595;Komentarz149;Grupa 1;Dzial 0;Elsie Alvarez;314
596;Komentarz317;Grupa 2;Dzial 2;Guy Moran ;171
597;Komentarz247;Grupa 0;Dzial 2;Nora Roberts;304
598;Komentarz639;Grupa 0;Dzial 1;Frederick Mclaughlin;245
599;Komentarz452;Grupa 1;Dzial 0;Rogelio Tucker;288
600;Komentarz964;Grupa 1;Dzial 3;Rex Casey ;286
601;Komentarz719;Grupa 0;Dzial 3;Naomi Shelton;243
602;Komentarz898;Grupa 1;Dzial 0;Elsie Alvarez;233
603;Komentarz178;Grupa 0;Dzial 3;Salvador Reese ;195
604;Komentarz148;Grupa 2;Dzial 3;Shawn Santos ;186
605;Komentarz850;Grupa 2;Dzial 2;Christina Nguyen;245
606;Komentarz409;Grupa 1;Dzial 1;Orlando Delgado;122
607;Komentarz297;Grupa 2;Dzial 2;Guy Moran ;239
608;Komentarz180;Grupa 0;Dzial 2;Jenna Dean;207
609;Komentarz923;Grupa 1;Dzial 0;Alison Lyons;256
610;Komentarz757;Grupa 1;Dzial 1;Angelica Hale;319
611;Komentarz889;Grupa 1;Dzial 3;Izydor Patryk;181
612;Komentarz399;Grupa 1;Dzial 1;Brett Swanson ;102
613;Komentarz842;Grupa 2;Dzial 3;Corey Mccormick ;292
614;Komentarz440;Grupa 0;Dzial 3;Jose Gilbert ;199
615;Komentarz941;Grupa 0;Dzial 1;Frederick Mclaughlin;143
616;Komentarz28;Grupa 1;Dzial 0;Rogelio Tucker;168
617;Komentarz464;Grupa 0;Dzial 3;Paulette Mcdaniel ;223
618;Komentarz354;Grupa 1;Dzial 0;Rogelio Tucker;319
619;Komentarz276;Grupa 0;Dzial 3;Jose Gilbert ;304
620;Komentarz814;Grupa 2;Dzial 2;Guy Moran ;211
621;Komentarz766;Grupa 2;Dzial 0;Phil Briggs;224
622;Komentarz965;Grupa 1;Dzial 2;Tanya Bridges ;317
623;Komentarz48;Grupa 0;Dzial 2;Jenna Dean;254
624;Komentarz580;Grupa 2;Dzial 1;Ramiro Thompson;163
625;Komentarz406;Grupa 0;Dzial 2;Irene Sandoval;189
626;Komentarz97;Grupa 2;Dzial 1;Diana Pierce ;205
627;Komentarz601;Grupa 0;Dzial 2;Cora Moody ;242
628;Komentarz560;Grupa 2;Dzial 2;Guy Moran ;168
629;Komentarz743;Grupa 0;Dzial 2;Cora Moody ;267
630;Komentarz800;Grupa 2;Dzial 0;Phil Briggs;130
631;Komentarz409;Grupa 0;Dzial 2;Jenna Dean;104
632;Komentarz260;Grupa 2;Dzial 1;Alan Underwood ;181
633;Komentarz316;Grupa 0;Dzial 2;Allen Thompson;111
634;Komentarz442;Grupa 2;Dzial 3;Shawn Santos ;130
635;Komentarz329;Grupa 0;Dzial 2;Irene Sandoval;121
636;Komentarz855;Grupa 0;Dzial 3;Naomi Shelton;114
637;Komentarz325;Grupa 0;Dzial 2;Jenna Dean;191
638;Komentarz345;Grupa 1;Dzial 1;Orlando Delgado;309
639;Komentarz930;Grupa 2;Dzial 1;Roy Weaver ;187
640;Komentarz147;Grupa 2;Dzial 1;Marta Clarke;229
641;Komentarz268;Grupa 2;Dzial 2;Alberto Allison ;187
642;Komentarz805;Grupa 0;Dzial 2;Allen Thompson;304
643;Komentarz660;Grupa 2;Dzial 1;Diana Pierce ;143
644;Komentarz569;Grupa 1;Dzial 3;Izydor Patryk;307
645;Komentarz800;Grupa 1;Dzial 0;Alison Lyons;235
646;Komentarz191;Grupa 0;Dzial 3;Janie Grant;295
647;Komentarz409;Grupa 2;Dzial 1;Ramiro Thompson;190
648;Komentarz906;Grupa 1;Dzial 3;Izydor Patryk;287
649;Komentarz68;Grupa 1;Dzial 0;Elsie Alvarez;305
650;Komentarz881;Grupa 1;Dzial 1;Angelica Hale;297
651;Komentarz66;Grupa 0;Dzial 3;Lorraine Cortez ;282
652;Komentarz695;Grupa 0;Dzial 2;Cora Moody ;310
653;Komentarz496;Grupa 0;Dzial 2;Jenna Dean;324
654;Komentarz979;Grupa 1;Dzial 0;Alison Lyons;160
655;Komentarz687;Grupa 2;Dzial 2;Christina Nguyen;312
656;Komentarz321;Grupa 2;Dzial 0;Cecelia Joseph;233
657;Komentarz493;Grupa 1;Dzial 1;Orlando Delgado;288
658;Komentarz23;Grupa 0;Dzial 2;Noah Barnes ;170
659;Komentarz754;Grupa 1;Dzial 1;Luther Ramsey ;222
660;Komentarz577;Grupa 1;Dzial 0;Rogelio Tucker;149
661;Komentarz708;Grupa 2;Dzial 1;Diana Pierce ;322
662;Komentarz6;Grupa 1;Dzial 1;Brett Swanson ;236
663;Komentarz340;Grupa 1;Dzial 1;Elizabeth Conner;152
664;Komentarz296;Grupa 0;Dzial 3;Jose Gilbert ;266
665;Komentarz359;Grupa 0;Dzial 2;Allen Thompson;120
666;Komentarz239;Grupa 1;Dzial 1;Luther Ramsey ;161
667;Komentarz670;Grupa 2;Dzial 1;Marta Clarke;319
668;Komentarz679;Grupa 1;Dzial 3;Izydor Patryk;135
669;Komentarz702;Grupa 2;Dzial 3;Shawn Santos ;169
670;Komentarz685;Grupa 0;Dzial 2;Bernard Ellis ;321
671;Komentarz448;Grupa 0;Dzial 2;Bernard Ellis ;309
672;Komentarz623;Grupa 0;Dzial 2;Cora Moody ;191
673;Komentarz449;Grupa 2;Dzial 3;Corey Mccormick ;208
674;Komentarz817;Grupa 1;Dzial 0;Elsie Alvarez;260
675;Komentarz492;Grupa 0;Dzial 3;Janie Grant;187
676;Komentarz352;Grupa 0;Dzial 3;Paulette Mcdaniel ;163
677;Komentarz12;Grupa 2;Dzial 1;Ramiro Thompson;249
678;Komentarz251;Grupa 0;Dzial 2;Irene Sandoval;291
679;Komentarz290;Grupa 2;Dzial 1;Diana Pierce ;315
680;Komentarz445;Grupa 1;Dzial 1;Angelica Hale;304
681;Komentarz517;Grupa 2;Dzial 3;Corey Mccormick ;241
682;Komentarz237;Grupa 1;Dzial 1;Ernestine Mathis ;127
683;Komentarz637;Grupa 2;Dzial 2;Christina Nguyen;112
684;Komentarz766;Grupa 2;Dzial 1;Diana Pierce ;169
685;Komentarz910;Grupa 1;Dzial 0;Alison Lyons;210
686;Komentarz127;Grupa 0;Dzial 2;Cora Moody ;324
687;Komentarz420;Grupa 0;Dzial 2;Jenna Dean;228
688;Komentarz491;Grupa 0;Dzial 1;Frederick Mclaughlin;321
689;Komentarz585;Grupa 1;Dzial 1;Angelica Hale;273
690;Komentarz330;Grupa 2;Dzial 0;Cecelia Joseph;275
691;Komentarz792;Grupa 1;Dzial 3;Izydor Patryk;316
692;Komentarz743;Grupa 2;Dzial 2;Christina Nguyen;124
693;Komentarz174;Grupa 1;Dzial 1;Brett Swanson ;287
694;Komentarz784;Grupa 0;Dzial 2;Al Welch ;308
695;Komentarz660;Grupa 0;Dzial 2;Cora Moody ;124
696;Komentarz913;Grupa 1;Dzial 3;Izydor Patryk;100
697;Komentarz414;Grupa 0;Dzial 2;Noah Barnes ;290
698;Komentarz745;Grupa 2;Dzial 1;Ramiro Thompson;131
699;Komentarz615;Grupa 0;Dzial 2;Al Welch ;176
700;Komentarz996;Grupa 1;Dzial 3;Rex Casey ;117
701;Komentarz779;Grupa 0;Dzial 2;Noah Barnes ;137
702;Komentarz119;Grupa 0;Dzial 2;Allen Thompson;190
703;Komentarz499;Grupa 1;Dzial 0;Elsie Alvarez;219
704;Komentarz215;Grupa 1;Dzial 1;Orlando Delgado;188
705;Komentarz500;Grupa 2;Dzial 2;Christina Nguyen;197
706;Komentarz555;Grupa 0;Dzial 3;Jose Gilbert ;302
707;Komentarz264;Grupa 0;Dzial 3;Jose Gilbert ;233
708;Komentarz821;Grupa 0;Dzial 2;Bernard Ellis ;132
709;Komentarz740;Grupa 0;Dzial 3;Naomi Shelton;153
710;Komentarz612;Grupa 1;Dzial 1;Brett Swanson ;319
711;Komentarz1;Grupa 0;Dzial 2;Noah Barnes ;130
712;Komentarz485;Grupa 0;Dzial 2;Nora Roberts;291
713;Komentarz611;Grupa 0;Dzial 2;Al Welch ;278
714;Komentarz949;Grupa 1;Dzial 0;Alison Lyons;290
715;Komentarz636;Grupa 0;Dzial 3;Jose Gilbert ;165
716;Komentarz865;Grupa 0;Dzial 2;Noah Barnes ;108
717;Komentarz42;Grupa 2;Dzial 3;Corey Mccormick ;128
718;Komentarz863;Grupa 0;Dzial 3;Naomi Shelton;186
719;Komentarz429;Grupa 2;Dzial 3;Shawn Santos ;310
720;Komentarz698;Grupa 2;Dzial 2;Alberto Allison ;152
721;Komentarz946;Grupa 1;Dzial 1;Elizabeth Conner;307
722;Komentarz706;Grupa 0;Dzial 3;Salvador Reese ;185
723;Komentarz363;Grupa 1;Dzial 0;Elsie Alvarez;136
724;Komentarz666;Grupa 1;Dzial 1;Brett Swanson ;104
725;Komentarz173;Grupa 0;Dzial 3;Salvador Reese ;181
726;Komentarz592;Grupa 2;Dzial 2;Christina Nguyen;234
727;Komentarz16;Grupa 2;Dzial 0;Phil Briggs;227
728;Komentarz720;Grupa 2;Dzial 0;Phil Briggs;288
729;Komentarz747;Grupa 2;Dzial 3;Corey Mccormick ;276
730;Komentarz953;Grupa 2;Dzial 3;Shawn Santos ;316
731;Komentarz581;Grupa 2;Dzial 0;Phil Briggs;286
732;Komentarz646;Grupa 0;Dzial 2;Irene Sandoval;214
733;Komentarz357;Grupa 1;Dzial 1;Ernestine Mathis ;261
734;Komentarz638;Grupa 1;Dzial 3;Rex Casey ;109
735;Komentarz35;Grupa 2;Dzial 0;Phil Briggs;121
736;Komentarz997;Grupa 1;Dzial 0;Elsie Alvarez;147
737;Komentarz988;Grupa 1;Dzial 0;Rogelio Tucker;318
738;Komentarz9;Grupa 2;Dzial 1;Alan Underwood ;174
739;Komentarz162;Grupa 1;Dzial 1;Luther Ramsey ;180
740;Komentarz582;Grupa 2;Dzial 1;Alan Underwood ;141
741;Komentarz785;Grupa 1;Dzial 0;Rogelio Tucker;253
742;Komentarz730;Grupa 0;Dzial 3;Lorraine Cortez ;105
743;Komentarz724;Grupa 2;Dzial 3;Corey Mccormick ;147
744;Komentarz634;Grupa 1;Dzial 1;Luther Ramsey ;116
745;Komentarz382;Grupa 0;Dzial 3;Salvador Reese ;294
746;Komentarz475;Grupa 2;Dzial 1;Alan Underwood ;246
747;Komentarz481;Grupa 2;Dzial 2;Christina Nguyen;195
748;Komentarz602;Grupa 1;Dzial 1;Luther Ramsey ;197
749;Komentarz459;Grupa 1;Dzial 3;Rex Casey ;263
750;Komentarz180;Grupa 0;Dzial 3;Lorraine Cortez ;165
751;Komentarz596;Grupa 0;Dzial 3;Dennis Kelley ;149
752;Komentarz783;Grupa 0;Dzial 3;Lorraine Cortez ;167
753;Komentarz377;Grupa 1;Dzial 1;Orlando Delgado;270
754;Komentarz143;Grupa 1;Dzial 1;Orlando Delgado;175
755;Komentarz652;Grupa 1;Dzial 2;Tanya Bridges ;112
756;Komentarz185;Grupa 0;Dzial 2;Jenna Dean;160
757;Komentarz273;Grupa 1;Dzial 0;Elsie Alvarez;251
758;Komentarz652;Grupa 1;Dzial 3;Rex Casey ;291
759;Komentarz594;Grupa 1;Dzial 0;Elsie Alvarez;153
760;Komentarz555;Grupa 2;Dzial 0;Phil Briggs;228
761;Komentarz156;Grupa 2;Dzial 2;Guy Moran ;323
762;Komentarz853;Grupa 0;Dzial 2;Irene Sandoval;238
763;Komentarz985;Grupa 1;Dzial 1;Elizabeth Conner;179
764;Komentarz5;Grupa 1;Dzial 0;Elsie Alvarez;212
765;Komentarz468;Grupa 1;Dzial 0;Elsie Alvarez;192
766;Komentarz2;Grupa 0;Dzial 1;Frederick Mclaughlin;131
767;Komentarz704;Grupa 1;Dzial 1;Angelica Hale;240
768;Komentarz111;Grupa 1;Dzial 1;Brett Swanson ;142
769;Komentarz945;Grupa 0;Dzial 2;Nora Roberts;306
770;Komentarz868;Grupa 1;Dzial 1;Elizabeth Conner;296
771;Komentarz368;Grupa 0;Dzial 2;Nora Roberts;170
772;Komentarz12;Grupa 0;Dzial 2;Al Welch ;120
773;Komentarz716;Grupa 1;Dzial 1;Orlando Delgado;201
774;Komentarz365;Grupa 2;Dzial 3;Corey Mccormick ;150
775;Komentarz876;Grupa 0;Dzial 2;Cora Moody ;121
776;Komentarz500;Grupa 1;Dzial 1;Luther Ramsey ;219
777;Komentarz630;Grupa 1;Dzial 3;Izydor Patryk;311
778;Komentarz806;Grupa 2;Dzial 2;Guy Moran ;106
779;Komentarz123;Grupa 0;Dzial 3;Janie Grant;263
780;Komentarz583;Grupa 0;Dzial 3;Dennis Kelley ;224
781;Komentarz424;Grupa 0;Dzial 2;Jenna Dean;247
782;Komentarz303;Grupa 1;Dzial 2;Tanya Bridges ;151
783;Komentarz103;Grupa 1;Dzial 1;Ernestine Mathis ;197
784;Komentarz120;Grupa 0;Dzial 2;Cora Moody ;150
785;Komentarz676;Grupa 2;Dzial 3;Corey Mccormick ;181
786;Komentarz865;Grupa 0;Dzial 1;Frederick Mclaughlin;135
787;Komentarz305;Grupa 0;Dzial 2;Al Welch ;245
788;Komentarz678;Grupa 2;Dzial 3;Shawn Santos ;305
789;Komentarz274;Grupa 2;Dzial 1;Alan Underwood ;150
790;Komentarz726;Grupa 2;Dzial 1;Marta Clarke;285
791;Komentarz41;Grupa 2;Dzial 2;Guy Moran ;109
792;Komentarz795;Grupa 2;Dzial 0;Phil Briggs;318
793;Komentarz211;Grupa 1;Dzial 1;Brett Swanson ;309
794;Komentarz670;Grupa 0;Dzial 2;Al Welch ;234
795;Komentarz9;Grupa 1;Dzial 1;Brett Swanson ;142
796;Komentarz145;Grupa 1;Dzial 1;Angelica Hale;101
797;Komentarz912;Grupa 0;Dzial 2;Al Welch ;259
798;Komentarz899;Grupa 2;Dzial 2;Guy Moran ;227
799;Komentarz154;Grupa 1;Dzial 1;Angelica Hale;251
800;Komentarz631;Grupa 0;Dzial 3;Paulette Mcdaniel ;265
801;Komentarz403;Grupa 0;Dzial 2;Bernard Ellis ;182
802;Komentarz893;Grupa 2;Dzial 0;Cecelia Joseph;106
803;Komentarz532;Grupa 2;Dzial 0;Phil Briggs;123
804;Komentarz951;Grupa 0;Dzial 2;Allen Thompson;223
805;Komentarz27;Grupa 2;Dzial 1;Marta Clarke;184
806;Komentarz973;Grupa 2;Dzial 1;Roy Weaver ;198
807;Komentarz873;Grupa 0;Dzial 3;Naomi Shelton;278
808;Komentarz691;Grupa 0;Dzial 3;Janie Grant;100
809;Komentarz155;Grupa 0;Dzial 2;Cora Moody ;123
810;Komentarz398;Grupa 1;Dzial 3;Rex Casey ;209
811;Komentarz442;Grupa 1;Dzial 3;Rex Casey ;290
812;Komentarz418;Grupa 2;Dzial 2;Guy Moran ;117
813;Komentarz739;Grupa 2;Dzial 2;Christina Nguyen;122
814;Komentarz222;Grupa 0;Dzial 3;Dennis Kelley ;113
